emp_no,birth_date,first_name,last_name,gender,hire_date,emp_no,title,from_date,to_date
10130,1955-04-27,Nishit,Casperson,M,1988-06-21,10130,"Senior Engineer",1988-06-21,9999-01-01
10133,1963-12-12,Giri,Isaak,M,1985-12-15,10133,"Senior Engineer",1991-12-15,9999-01-01
10134,1953-04-15,Diederik,Siprelle,M,1987-12-12,10134,"Senior Engineer",1994-12-12,9999-01-01
10138,1955-04-24,Perry,Shimshoni,M,1986-09-18,10138,"Senior Engineer",2001-03-03,9999-01-01
10142,1956-08-29,Tzvetan,Hettesheimer,M,1993-10-28,10142,"Senior Engineer",2001-10-28,9999-01-01
10143,1961-07-16,Sakthirel,Bakhtari,M,1988-09-30,10143,"Senior Engineer",1993-09-30,9999-01-01
10150,1955-01-29,Zhenbing,Perng,F,1986-11-16,10150,"Senior Engineer",1995-11-16,9999-01-01
10156,1964-09-19,Sumali,Fargier,M,1985-03-10,10156,"Senior Engineer",2001-05-14,9999-01-01
10157,1954-04-23,Nigel,Aloisi,M,1985-11-02,10157,"Senior Engineer",1997-12-10,9999-01-01
10158,1958-04-01,Khedija,Mitsuhashi,M,1986-01-29,10158,"Senior Engineer",1996-06-03,9999-01-01
10159,1955-03-03,Serif,Buescher,M,1991-05-29,10159,"Senior Engineer",1996-06-12,9999-01-01
10164,1956-01-19,Jagoda,Braunmuhl,M,1985-11-12,10164,"Senior Engineer",1999-10-19,9999-01-01
10167,1958-05-23,Duangkaew,Rassart,M,1992-04-04,10167,"Senior Engineer",2001-04-04,9999-01-01
10174,1959-05-15,Badri,Furudate,M,1987-06-01,10174,"Senior Engineer",1995-06-01,9999-01-01
10181,1963-01-22,Sibyl,Nooteboom,M,1988-06-22,10181,"Senior Engineer",1988-06-22,9999-01-01
10182,1961-02-04,Moriyoshi,Merey,F,1990-09-02,10182,"Senior Engineer",1995-09-02,9999-01-01
10188,1956-07-13,Christ,Muchinsky,F,1987-08-27,10188,"Senior Engineer",1987-08-27,9999-01-01
10190,1964-12-11,Arve,Fairtlough,F,1986-06-23,10190,"Senior Engineer",1994-06-23,9999-01-01
10191,1959-04-08,Zdislav,Nastansky,M,1986-04-10,10191,"Senior Engineer",1986-04-10,9999-01-01
10192,1960-09-16,Mohua,Falck,M,1988-06-13,10192,"Senior Engineer",1993-06-13,9999-01-01
10195,1963-11-13,Annemarie,Redmiles,M,1985-02-15,10195,"Senior Engineer",1991-02-15,2001-04-14
10197,1963-08-06,Kasidit,Krzyzanowski,F,1993-11-22,10197,"Senior Engineer",2001-06-28,9999-01-01
10198,1953-05-28,Pranav,Furedi,M,1985-08-31,10198,"Senior Engineer",1993-08-31,9999-01-01
10200,1961-12-31,Vidya,Awdeh,M,1985-10-16,10200,"Senior Engineer",2000-02-17,9999-01-01
10201,1956-12-15,Idoia,Kavraki,F,1986-11-22,10201,"Senior Engineer",1998-11-10,9999-01-01
10202,1956-01-05,Greger,Lichtner,M,1991-10-06,10202,"Senior Engineer",2000-10-05,9999-01-01
10205,1953-05-20,Mabhin,Leijenhorst,F,1993-08-23,10205,"Senior Engineer",1993-08-23,9999-01-01
10207,1955-05-28,Girolamo,Anandan,F,1992-10-11,10207,"Senior Engineer",1997-10-11,9999-01-01
10211,1964-08-05,Vishu,Strehl,F,1989-11-18,10211,"Senior Engineer",1996-11-21,9999-01-01
10212,1959-05-09,Divier,Esteva,M,1990-07-11,10212,"Senior Engineer",2001-01-27,9999-01-01
10218,1958-12-07,Zhenhua,Magalhaes,M,1997-01-15,10218,"Senior Engineer",1997-01-31,9999-01-01
10221,1957-01-03,Yucai,Granlund,M,1988-06-08,10221,"Senior Engineer",1997-06-08,2000-10-04
10224,1954-05-17,Leon,Trogemann,M,1988-01-09,10224,"Senior Engineer",1996-01-09,9999-01-01
10235,1958-03-27,Susanta,Roccetti,F,1995-04-06,10235,"Senior Engineer",1995-04-06,9999-01-01
10242,1964-02-22,Lunjin,Ozeri,M,1988-01-18,10242,"Senior Engineer",1995-01-18,9999-01-01
10246,1962-06-23,Basem,Teitelbaum,M,1987-07-12,10246,"Senior Engineer",1991-02-01,9999-01-01
10247,1964-06-30,Heon,Riefers,F,1992-08-14,10247,"Senior Engineer",1998-08-14,9999-01-01
10249,1954-06-10,Marie,Boreale,M,1991-12-08,10249,"Senior Engineer",2000-12-07,9999-01-01
10250,1958-08-12,Serap,Etalle,M,1992-08-30,10250,"Senior Engineer",2001-08-30,9999-01-01
10252,1961-01-30,Shirish,Wegerle,F,1990-11-08,10252,"Senior Engineer",1998-11-08,9999-01-01
10255,1964-02-08,Roddy,Garnick,M,1993-05-12,10255,"Senior Engineer",1999-05-12,1999-11-14
10258,1955-12-12,Basil,Ishibashi,F,1985-05-17,10258,"Senior Engineer",1997-05-16,9999-01-01
10260,1961-07-14,Alper,Suomi,F,1991-04-13,10260,"Senior Engineer",2002-02-01,9999-01-01
10261,1959-12-25,Mang,Erie,M,1993-10-20,10261,"Senior Engineer",1996-09-11,1999-02-23
10265,1960-12-01,Ramalingam,Muniz,M,1989-07-13,10265,"Senior Engineer",1997-09-12,9999-01-01
10266,1958-02-24,Sukumar,Rassart,M,1990-05-25,10266,"Senior Engineer",1990-05-25,9999-01-01
10269,1959-10-07,Taizo,Oxman,F,1988-07-24,10269,"Senior Engineer",1996-07-24,9999-01-01
10271,1962-04-24,Sham,Eastman,M,1986-05-23,10271,"Senior Engineer",1992-05-22,9999-01-01
10275,1961-10-22,Marek,Luck,F,1987-09-08,10275,"Senior Engineer",1987-09-08,9999-01-01
10276,1964-07-27,Xuejun,Hempstead,M,1985-07-21,10276,"Senior Engineer",1993-10-19,2000-02-04
10281,1953-05-13,Moty,Kusakari,M,1994-12-03,10281,"Senior Engineer",2000-12-02,9999-01-01
10283,1953-07-08,Kauko,Birjandi,M,1988-05-25,10283,"Senior Engineer",1995-05-26,9999-01-01
10290,1957-05-29,Yongmao,Pleszkun,M,1991-09-18,10290,"Senior Engineer",1997-09-17,9999-01-01
10293,1956-11-24,Mihalis,Avouris,F,1992-12-12,10293,"Senior Engineer",2001-12-12,9999-01-01
10294,1955-01-05,Rutger,Miara,M,1996-04-08,10294,"Senior Engineer",1999-01-30,1999-05-04
10297,1956-06-17,Narain,Oaver,F,1986-05-28,10297,"Senior Engineer",1995-05-28,9999-01-01
10300,1960-07-12,Tadahiko,Ulupinar,F,1991-05-17,10300,"Senior Engineer",1996-05-16,9999-01-01
10303,1961-09-11,Marlo,Zschoche,M,1990-02-05,10303,"Senior Engineer",1990-02-05,2000-11-15
10310,1964-08-29,Aksel,Alencar,M,1990-10-24,10310,"Senior Engineer",1990-10-24,2001-07-26
10312,1957-06-18,Rasiah,Deyuan,F,1986-08-28,10312,"Senior Engineer",1986-08-28,9999-01-01
10315,1956-08-03,Maris,Angelopoulos,M,1987-08-28,10315,"Senior Engineer",1994-08-28,9999-01-01
10318,1958-08-27,Mototsugu,Beilner,F,1985-06-29,10318,"Senior Engineer",1995-03-23,9999-01-01
10322,1954-05-28,Isamu,Dahlbom,F,1990-01-29,10322,"Senior Engineer",1997-01-29,9999-01-01
10323,1958-06-20,Kankanahalli,Hinsberger,M,1991-06-06,10323,"Senior Engineer",2000-06-05,9999-01-01
10332,1961-11-05,Masanao,Bain,F,1988-06-08,10332,"Senior Engineer",1994-10-20,1997-03-07
10333,1953-04-27,Snehasis,Dymetman,M,1993-01-16,10333,"Senior Engineer",1998-01-16,9999-01-01
10339,1957-08-27,Teunis,Liedekerke,M,1989-11-30,10339,"Senior Engineer",1997-11-30,9999-01-01
10342,1960-03-17,Stella,Hiroyama,F,1987-07-25,10342,"Senior Engineer",1993-07-24,9999-01-01
10343,1954-11-01,Dinah,Syrzycki,M,1993-10-14,10343,"Senior Engineer",1997-10-03,9999-01-01
10345,1960-12-13,Arra,Ratnakar,M,1993-11-08,10345,"Senior Engineer",1998-11-08,9999-01-01
10357,1964-01-10,Hausi,Sidhu,M,1994-04-04,10357,"Senior Engineer",1999-04-03,9999-01-01
10364,1954-09-21,Nakhoon,Dengi,M,1985-11-14,10364,"Senior Engineer",1985-11-14,9999-01-01
10377,1954-08-19,Marl,Grospietsch,M,1990-05-07,10377,"Senior Engineer",1996-08-24,9999-01-01
10383,1963-11-13,Leucio,Aumann,M,1991-06-19,10383,"Senior Engineer",1997-06-18,9999-01-01
10386,1956-11-09,Eishiro,Miyakawa,F,1985-08-02,10386,"Senior Engineer",1994-08-02,9999-01-01
10392,1962-02-17,Jiann,Hainaut,M,1992-03-01,10392,"Senior Engineer",1998-03-01,9999-01-01
10393,1958-03-24,Yagil,DasSarma,M,1989-06-23,10393,"Senior Engineer",1995-06-23,9999-01-01
10396,1955-08-21,Sibyl,Rahier,M,1986-01-11,10396,"Senior Engineer",1986-01-11,9999-01-01
10404,1955-04-27,Prodip,Rosti,F,1988-08-28,10404,"Senior Engineer",1996-08-28,9999-01-01
10412,1958-02-26,Masoud,Fabrizio,F,1986-05-06,10412,"Senior Engineer",1996-11-20,9999-01-01
10414,1954-04-09,Yinlin,Alpin,M,1990-05-30,10414,"Senior Engineer",1990-05-30,1994-12-02
10415,1957-11-12,Mark,Coorg,M,1993-10-25,10415,"Senior Engineer",1993-10-25,9999-01-01
10424,1959-08-17,Babette,Straney,M,1989-08-07,10424,"Senior Engineer",1989-08-07,9999-01-01
10425,1963-10-24,Sashi,Osgood,M,1991-10-29,10425,"Senior Engineer",2001-05-06,2002-05-06
10429,1952-02-13,Martien,Improta,F,1986-03-09,10429,"Senior Engineer",1988-09-23,9999-01-01
10430,1958-06-30,Ferdinand,Chenney,M,1990-11-16,10430,"Senior Engineer",1998-07-05,9999-01-01
10434,1959-07-17,Dzung,Peltason,F,1995-06-27,10434,"Senior Engineer",2001-06-26,2002-06-22
10439,1958-04-09,Jolita,Jarecki,M,1990-01-11,10439,"Senior Engineer",2002-05-01,9999-01-01
10441,1958-04-27,Adel,Perfilyeva,M,1988-07-12,10441,"Senior Engineer",1993-07-12,9999-01-01
10443,1952-12-03,Shichao,Litvinov,F,1989-08-01,10443,"Senior Engineer",1989-08-01,2002-07-06
10445,1957-01-10,Junichi,Kavanagh,F,1987-11-04,10445,"Senior Engineer",1993-11-03,9999-01-01
10451,1952-10-06,Bodh,Ranta,F,1988-03-12,10451,"Senior Engineer",1998-03-12,9999-01-01
10452,1956-11-24,Werner,Hasham,M,1988-09-05,10452,"Senior Engineer",2000-11-11,2001-10-11
10457,1963-11-10,Oddvar,Schlenzig,M,1991-11-23,10457,"Senior Engineer",1999-10-23,9999-01-01
10462,1956-04-08,Sumali,Schlenzig,M,1996-03-25,10462,"Senior Engineer",1996-03-25,9999-01-01
10469,1964-12-22,Munehiko,Ananiadou,M,1985-06-05,10469,"Senior Engineer",1985-06-05,9999-01-01
10470,1956-04-12,Peternela,Iwayama,M,1988-06-01,10470,"Senior Engineer",1994-09-19,9999-01-01
10471,1963-11-30,Jouko,Yamaashi,M,1990-11-18,10471,"Senior Engineer",1990-11-18,9999-01-01
10474,1962-02-24,Kenton,Garnham,F,1985-09-28,10474,"Senior Engineer",1992-02-21,9999-01-01
10477,1952-12-07,Guoxiang,Trogemann,F,1989-03-04,10477,"Senior Engineer",2002-05-26,9999-01-01
10479,1959-01-27,Duro,Coney,F,1987-02-28,10479,"Senior Engineer",1993-07-24,9999-01-01
10481,1959-10-18,Yongmao,Pintelas,F,1988-10-06,10481,"Senior Engineer",1998-10-03,9999-01-01
10486,1952-08-24,Amstein,Kossowski,F,1987-10-08,10486,"Senior Engineer",1996-10-07,9999-01-01
10487,1956-08-23,Perla,Middleton,F,1992-08-14,10487,"Senior Engineer",2001-08-14,9999-01-01
10488,1959-10-17,Mihalis,Heering,M,1994-06-09,10488,"Senior Engineer",2002-07-09,9999-01-01
10492,1957-04-03,Lobel,Kumaresan,M,1988-04-24,10492,"Senior Engineer",1997-04-29,9999-01-01
10494,1953-12-21,Yakkov,Servieres,F,1986-01-18,10494,"Senior Engineer",2000-12-17,9999-01-01
10497,1953-06-09,Pramod,Rabehasaina,M,1992-01-22,10497,"Senior Engineer",1999-01-22,9999-01-01
10501,1962-09-09,Susuma,Larfeldt,M,1987-04-20,10501,"Senior Engineer",1995-09-09,9999-01-01
10506,1958-10-06,Kazuhisa,Kroll,F,1996-12-01,10506,"Senior Engineer",1996-12-01,9999-01-01
10508,1962-06-02,Kotesh,Liedekerke,M,1991-05-01,10508,"Senior Engineer",2000-04-30,9999-01-01
10516,1960-02-20,Xiadong,Luga,M,1985-10-19,10516,"Senior Engineer",1994-10-19,9999-01-01
10520,1964-03-06,Jenwei,Ecklund,M,1994-03-27,10520,"Senior Engineer",1996-09-05,9999-01-01
10523,1956-05-16,Malu,Skafidas,M,1988-12-28,10523,"Senior Engineer",1994-12-23,9999-01-01
10524,1959-05-02,Shigehiro,Cincotta,F,1985-10-09,10524,"Senior Engineer",1993-10-09,9999-01-01
10526,1963-12-31,Kwangho,Theuretzbacher,F,1988-02-27,10526,"Senior Engineer",1997-02-26,9999-01-01
10528,1963-05-16,Koichi,Lakshmanan,F,1991-12-29,10528,"Senior Engineer",1993-10-28,9999-01-01
10530,1956-07-19,Boriana,Coors,F,1987-09-23,10530,"Senior Engineer",1994-09-23,9999-01-01
10538,1955-08-18,Przemyslawa,Falby,M,1987-07-23,10538,"Senior Engineer",1987-07-23,1998-12-13
10540,1961-02-24,Martins,Barriga,M,1994-05-03,10540,"Senior Engineer",2002-05-03,9999-01-01
10542,1955-01-05,Yannis,Couchot,F,1989-03-28,10542,"Senior Engineer",1992-02-07,9999-01-01
10545,1963-01-12,Hauke,dAstous,M,1990-06-30,10545,"Senior Engineer",1996-06-29,9999-01-01
10549,1957-03-20,Beshir,Kisuki,M,1995-10-26,10549,"Senior Engineer",2001-10-11,9999-01-01
10550,1959-08-03,Manton,Leuchs,M,1985-02-03,10550,"Senior Engineer",1994-02-03,9999-01-01
10551,1963-10-07,Jeong,Rijsenbrij,M,1988-08-06,10551,"Senior Engineer",1995-08-07,9999-01-01
10552,1953-03-25,Kazuhito,Shiratori,M,1998-08-18,10552,"Senior Engineer",1998-08-31,9999-01-01
10553,1964-02-08,Rajmohan,Wallrath,F,1985-10-27,10553,"Senior Engineer",1996-07-21,9999-01-01
10554,1958-08-01,Dines,Gerlach,M,1990-11-28,10554,"Senior Engineer",1995-11-28,9999-01-01
10557,1957-08-23,Sashi,Karlin,M,1986-03-31,10557,"Senior Engineer",2001-09-18,9999-01-01
10558,1964-10-08,Hisao,Famili,M,1990-04-06,10558,"Senior Engineer",1992-04-22,9999-01-01
10562,1963-04-17,Shuky,Pearson,M,1996-07-06,10562,"Senior Engineer",2002-07-24,9999-01-01
10563,1956-10-27,Mohit,Spelt,M,1992-09-29,10563,"Senior Engineer",1999-09-30,2002-01-01
10564,1955-04-14,Jianhao,Thisen,M,1986-05-08,10564,"Senior Engineer",2000-11-22,9999-01-01
10565,1961-11-05,Yishay,Harnett,M,1992-01-09,10565,"Senior Engineer",1996-08-05,9999-01-01
10571,1963-12-10,Fun,Varman,M,1985-02-24,10571,"Senior Engineer",1997-02-23,9999-01-01
10572,1960-10-10,Cordelia,Axelband,M,1988-02-16,10572,"Senior Engineer",1994-02-15,9999-01-01
10575,1954-06-29,Theirry,Yeung,M,1988-10-04,10575,"Senior Engineer",1988-10-04,2000-11-22
10578,1958-07-18,Shigeaki,Shanbhogue,F,1989-11-24,10578,"Senior Engineer",1989-11-24,9999-01-01
10579,1958-07-17,Aiman,Stentiford,M,1985-09-01,10579,"Senior Engineer",1991-06-02,9999-01-01
10581,1956-11-20,Odinaldo,Prochazka,F,1988-02-09,10581,"Senior Engineer",1999-04-13,9999-01-01
10583,1964-03-03,Prasadram,Stille,F,1985-02-14,10583,"Senior Engineer",1990-02-14,1998-05-29
10584,1961-07-12,Mana,Papastamatiou,M,1986-02-17,10584,"Senior Engineer",1993-02-17,9999-01-01
10585,1963-11-10,Sajjad,Willoner,F,1986-01-05,10585,"Senior Engineer",1991-01-09,9999-01-01
10586,1954-06-23,Kirk,Vuskovic,M,1992-02-04,10586,"Senior Engineer",2000-02-04,9999-01-01
10587,1962-03-04,Behnaam,Srimani,F,1989-09-20,10587,"Senior Engineer",1999-11-20,9999-01-01
10588,1956-07-30,Shigeo,Dulay,F,1987-01-28,10588,"Senior Engineer",1993-07-25,9999-01-01
10593,1952-07-24,Falguni,Kenevan,M,1990-09-12,10593,"Senior Engineer",1999-09-12,9999-01-01
10594,1960-10-22,Kiyokazu,Whitcomb,M,1988-04-02,10594,"Senior Engineer",1996-04-02,9999-01-01
10595,1964-12-10,Giri,Undy,M,1989-11-24,10595,"Senior Engineer",1989-11-24,9999-01-01
10598,1957-11-10,Margo,Gronowski,M,1989-03-31,10598,"Senior Engineer",1998-06-22,2000-09-27
10604,1957-04-24,Susanna,Brizzi,M,1990-04-07,10604,"Senior Engineer",1997-04-07,9999-01-01
10605,1956-05-21,Moti,Wixon,F,1985-04-29,10605,"Senior Engineer",1998-07-01,9999-01-01
10606,1964-03-04,Toshiki,Marakhovsky,M,1987-05-02,10606,"Senior Engineer",1992-05-01,9999-01-01
10608,1955-07-11,Adhemar,Talmor,F,1986-05-25,10608,"Senior Engineer",1986-05-25,1991-06-02
10611,1964-05-11,Karsten,Blokdijk,M,1989-09-16,10611,"Senior Engineer",1989-09-16,9999-01-01
10612,1959-01-01,Gil,Peroz,M,1991-09-02,10612,"Senior Engineer",2001-09-01,9999-01-01
10614,1953-07-11,Gila,Ozeri,F,1990-03-03,10614,"Senior Engineer",1998-03-03,9999-01-01
10621,1962-02-03,Hinrich,Siepmann,F,1991-06-23,10621,"Senior Engineer",1999-02-10,9999-01-01
10622,1959-09-15,Turgut,Narlikar,M,1989-01-28,10622,"Senior Engineer",1996-05-15,9999-01-01
10623,1953-07-11,Aleksander,Danlos,F,1987-03-07,10623,"Senior Engineer",1999-01-15,9999-01-01
10625,1958-02-08,Leszek,Petereit,F,1985-10-31,10625,"Senior Engineer",1991-07-15,1995-01-13
10628,1954-04-18,Krisda,Krogh,M,1985-09-11,10628,"Senior Engineer",2001-03-14,9999-01-01
10634,1954-08-01,Nahid,Chepyzhov,M,1990-11-11,10634,"Senior Engineer",2000-11-10,9999-01-01
10635,1960-10-29,Toney,Angiulli,F,1991-09-22,10635,"Senior Engineer",1991-09-22,1999-12-20
10639,1953-04-18,Pramod,Erol,M,1992-10-25,10639,"Senior Engineer",1999-10-26,9999-01-01
10643,1957-07-25,Slavian,Keirsey,M,1987-11-11,10643,"Senior Engineer",1994-11-11,9999-01-01
10645,1957-03-01,Fumiyo,Esposito,M,1988-03-01,10645,"Senior Engineer",1995-03-02,9999-01-01
10648,1962-01-19,Marlo,Ratnaker,F,1988-02-16,10648,"Senior Engineer",1993-02-15,9999-01-01
10653,1953-06-16,Otmar,Feinberg,M,1987-04-30,10653,"Senior Engineer",1987-04-30,9999-01-01
10654,1960-03-17,Nahla,Castellani,F,1987-05-28,10654,"Senior Engineer",1999-03-25,9999-01-01
10656,1962-06-18,Sanjay,Litzkow,M,1988-06-21,10656,"Senior Engineer",1993-06-21,9999-01-01
10659,1956-12-09,Dinah,Shackel,F,1991-09-20,10659,"Senior Engineer",2000-05-31,9999-01-01
10660,1964-01-03,Jouko,Kolinko,M,1988-08-12,10660,"Senior Engineer",1988-08-12,1991-07-12
10664,1962-06-02,Xumin,Peck,M,1989-12-24,10664,"Senior Engineer",1998-12-24,9999-01-01
10665,1964-07-28,Qingxiang,Snyers,M,1988-01-23,10665,"Senior Engineer",1995-01-23,2000-07-13
10672,1954-03-23,Bluma,Zeilberger,M,1986-07-13,10672,"Senior Engineer",1991-09-29,1996-04-19
10678,1958-08-21,Chriss,Gide,F,1987-08-02,10678,"Senior Engineer",1995-08-02,9999-01-01
10680,1962-10-11,Kish,Honglei,M,1986-06-20,10680,"Senior Engineer",1992-11-21,1998-12-08
10683,1952-06-18,Guiseppe,Stranks,F,1993-09-07,10683,"Senior Engineer",1997-06-23,9999-01-01
10686,1963-05-25,Avishai,Azadmanesh,F,1987-05-17,10686,"Senior Engineer",1987-05-17,9999-01-01
10690,1962-09-06,Matt,Jumpertz,F,1989-08-22,10690,"Senior Engineer",1994-08-22,9999-01-01
10698,1959-09-13,Barton,Engberts,M,1994-12-08,10698,"Senior Engineer",1994-12-08,9999-01-01
10699,1964-02-02,Hatim,Deverell,M,1985-11-17,10699,"Senior Engineer",1993-11-17,9999-01-01
10702,1952-11-25,Bader,Szemeredi,M,1985-07-23,10702,"Senior Engineer",1991-01-14,9999-01-01
10703,1958-06-13,Giri,Baumann,F,1996-05-12,10703,"Senior Engineer",2002-05-12,9999-01-01
10707,1957-06-04,Moty,Trystram,M,1990-12-24,10707,"Senior Engineer",1997-12-24,9999-01-01
10709,1961-01-06,Jiafu,Mateescu,F,1986-02-02,10709,"Senior Engineer",1992-02-02,9999-01-01
10711,1963-06-20,Arvind,DuBourdieux,F,1991-06-21,10711,"Senior Engineer",1996-06-20,9999-01-01
10712,1952-04-12,Uma,Koprowski,F,1994-08-18,10712,"Senior Engineer",2001-08-18,9999-01-01
10716,1963-10-08,Aiman,Constantine,M,1985-08-20,10716,"Senior Engineer",1993-08-11,9999-01-01
10718,1955-12-19,Adib,Rullman,M,1988-07-21,10718,"Senior Engineer",1997-07-21,9999-01-01
10724,1957-10-06,Aluzio,Narlikar,M,1991-11-04,10724,"Senior Engineer",2001-12-06,9999-01-01
10726,1954-01-11,Zita,Minakawa,F,1985-09-01,10726,"Senior Engineer",2001-02-24,9999-01-01
10728,1958-11-17,Ugo,Maliniak,F,1989-12-09,10728,"Senior Engineer",1998-12-09,9999-01-01
10729,1961-05-24,Percy,Lorho,F,1986-04-20,10729,"Senior Engineer",1986-04-20,9999-01-01
10730,1962-07-22,Mohit,Janetzko,M,1988-11-24,10730,"Senior Engineer",1996-05-14,1998-06-07
10732,1962-04-22,Morris,Andreotta,F,1991-03-10,10732,"Senior Engineer",1994-12-21,9999-01-01
10736,1962-07-09,Gurbir,Hellwagner,F,1991-09-26,10736,"Senior Engineer",1991-09-26,9999-01-01
10745,1953-10-23,Poorav,Ranze,F,1987-05-26,10745,"Senior Engineer",1997-01-22,9999-01-01
10747,1955-02-02,Falguni,Khalid,M,1990-10-08,10747,"Senior Engineer",1990-10-08,1999-09-20
10749,1955-08-21,King,Brendel,M,1985-09-26,10749,"Senior Engineer",1990-09-26,9999-01-01
10752,1964-07-18,Byong,Conde,M,1993-05-28,10752,"Senior Engineer",1993-05-28,9999-01-01
10753,1958-09-30,Pradeep,Harbusch,F,1985-05-17,10753,"Senior Engineer",1993-05-17,1999-08-25
10756,1958-06-24,Paddy,Brizzi,M,1995-11-21,10756,"Senior Engineer",1997-10-07,9999-01-01
