emp_no,birth_date,first_name,last_name,gender,hire_date
499894,1957-04-25,Maja,Lamba,F,1990-06-10
499893,1959-01-26,Naftali,Trelles,M,1988-06-04
499892,1962-12-26,Shaunak,Vural,F,1989-03-02
499891,1956-02-21,Heekeun,Weedman,F,1989-09-06
499890,1953-01-13,Lorien,Hegner,M,1987-06-27
499889,1956-01-29,Charlene,Hasham,F,1988-03-19
499888,1959-05-30,Hilari,Smeets,M,1999-06-27
499887,1964-08-16,Kannan,Varley,M,1997-11-01
499886,1961-07-03,Urs,Herber,F,1985-02-25
499885,1963-09-21,Jagoda,Lanphier,F,1997-05-09
499884,1961-03-15,Adhemar,Gist,F,1988-11-19
499883,1955-08-15,Greger,Jahnichen,F,1989-03-28
499882,1958-08-11,Maren,Baez,M,1985-02-05
499881,1952-12-01,Christoph,Schneeberger,F,1987-10-29
499880,1955-11-11,Fen,Lenart,F,1988-11-05
499879,1958-12-31,Stafford,Goodrum,M,1995-04-18
499878,1953-12-09,Berni,Llado,F,1990-05-01
499877,1956-08-06,Ymte,Duclos,M,1986-04-10
499876,1959-03-19,Chaosheng,Orlowska,M,1988-02-20
499875,1961-01-11,Chenyi,Hainaut,F,1991-07-16
499874,1954-07-25,Dharmaraja,Range,M,1985-05-26
499873,1960-12-10,Kasidit,Picel,F,1986-04-21
499872,1955-03-01,Kannan,Krychniak,M,1986-12-24
499871,1958-11-13,Elrique,Walstra,F,1993-07-05
499870,1955-03-14,Kayoko,Peroz,M,1986-09-09
499869,1960-02-21,Adel,Reghbati,M,1992-07-31
499868,1956-11-14,Shaz,Bierbaum,M,1988-11-01
499867,1962-01-25,Hidde,Alpin,F,1988-10-13
499866,1960-11-29,Nahum,Decleir,M,1989-03-13
499865,1963-06-23,Heeju,Mandelberg,M,1993-09-10
499864,1958-05-03,Teiji,Tsukuda,M,1996-08-20
499863,1958-07-08,Arne,Schreiter,F,1985-09-04
499862,1953-05-14,Armond,Fraisse,M,1985-11-07
499861,1959-11-18,Subhash,Barriga,F,1998-02-15
499860,1963-03-19,Becky,Dahlbom,M,1989-03-17
499859,1962-05-20,Huican,Passafiume,F,1986-10-03
499858,1956-08-03,Zhilian,Iacovou,F,1985-05-20
499857,1962-06-05,Leszek,Tempesti,M,1995-12-12
499856,1962-11-23,Yoshinari,Theuretzbacher,F,1997-05-17
499855,1957-07-01,Constantine,Michaels,F,1995-09-05
499854,1954-12-26,Golgen,Sankaranarayanan,F,1992-07-14
499853,1961-11-30,Nalini,Schrift,F,1990-05-22
499852,1962-09-17,JiYoung,Coney,F,1986-05-24
499851,1959-06-23,Mechthild,Suppi,M,1989-03-22
499850,1964-06-21,Fumiko,Luke,F,1987-04-17
499849,1954-10-12,Moriyoshi,Pusterhofer,F,1993-11-13
499848,1961-06-04,Spyrose,Ratnaker,M,1995-01-27
499847,1957-02-21,Morris,Smeets,F,1986-04-04
499846,1963-05-14,Bezalel,Ranon,F,1993-07-02
499845,1953-09-08,Wojceich,Emden,M,1992-04-07
499844,1955-01-24,Cristinel,Zaiane,M,1989-08-01
499843,1953-05-28,Vitaly,Zucker,M,1990-04-27
499842,1954-11-01,Marco,Cairo,M,1990-09-24
499841,1962-11-03,Deniz,Lundstrom,F,1995-06-05
499840,1963-08-03,Troy,Sifakis,F,1993-06-19
499839,1964-06-16,Nadjib,McAffer,F,1996-10-22
499838,1959-09-07,Annemarie,Peroz,M,1996-01-19
499837,1952-10-07,Susanne,Matteis,M,1996-09-16
499836,1962-08-24,Doohun,Schnelling,M,1991-02-03
499835,1955-04-20,Fumiyo,Delgrande,M,1995-05-26
499834,1956-04-04,Nathan,Chimia,F,1995-05-12
499833,1953-07-11,Shirish,Rettelbach,M,1993-06-23
499832,1963-05-29,Takanari,Restivo,M,1989-02-25
499831,1963-01-20,Van,Jeansoulin,M,1988-04-29
499830,1952-07-10,Chenye,Gurbaxani,F,1996-05-13
499829,1954-07-28,Xiahua,Avouris,M,1987-10-30
499828,1955-02-17,Rosalie,Slobodova,M,1989-06-21
499827,1956-12-03,JiYoung,Ballarin,M,1992-12-27
499826,1960-04-09,Serge,Tischendorf,M,1994-12-30
499825,1953-04-23,Kwun,Remmele,F,1996-01-13
499824,1958-12-08,Licheng,Stanfel,F,1990-02-19
499823,1956-12-27,Changho,Noriega,F,1994-11-19
499822,1956-10-08,Serif,Thebaut,M,1989-05-11
499821,1957-03-15,Kazuhisa,Raney,F,1992-05-22
499820,1956-01-23,Akeel,Baez,M,1987-10-27
499819,1955-10-19,Behnaam,Sooriamurthi,M,1989-08-18
499818,1963-04-10,Kokou,Angelov,M,1986-09-09
499817,1953-08-03,Lihong,Pusterhofer,M,1986-11-27
499816,1952-09-01,Debatosh,Murtagh,M,1987-09-15
499815,1962-08-16,Hyuckchul,Baar,F,1987-04-25
499814,1960-12-28,Georgi,Wielonsky,M,1989-01-31
499813,1958-11-19,Aiman,Maccarone,M,1987-05-20
499812,1962-03-27,Ulf,Mapelli,F,1994-10-10
499811,1964-08-31,Danae,Sevcikova,M,1992-11-20
499810,1959-07-07,Soenke,Kalorkoti,F,1986-02-02
499809,1958-08-02,Zdislav,Nittel,M,1991-03-31
499808,1955-04-05,Paris,Deyuan,F,1987-12-21
499807,1956-11-23,Foong,Godskesen,M,1989-11-01
499806,1958-10-11,Ingmar,Barbanera,F,1995-04-14
499805,1956-08-22,Mitchel,Rosti,M,1992-10-01
499804,1960-03-23,Leen,Emmart,F,1989-01-19
499803,1963-03-25,Van,Zykh,M,1991-06-03
499802,1962-03-07,Eckart,Vrecion,M,1985-08-09
499801,1959-01-19,Sverrir,Pelc,F,1987-05-25
499800,1953-06-01,Danny,Barvinok,F,1989-05-12
499799,1962-08-23,Howell,Petereit,M,1989-08-10
499798,1953-08-20,Gopalakrishnan,Maierhofer,F,1990-01-03
499797,1952-03-11,Wayne,Hutter,M,1988-08-28
499796,1963-06-11,Shigeu,Crouzet,M,1993-01-14
499795,1961-07-05,Idoia,Riefers,M,1986-01-16
499794,1963-11-05,Saniya,Hettesheimer,M,1992-03-01
499793,1956-05-21,Feipei,Setlzner,M,1988-12-07
499792,1962-02-04,Ekawit,Sinicrope,M,1993-02-11
499791,1960-10-30,Kotesh,Plumb,M,1986-06-09
499790,1954-05-25,Mechthild,Poupard,F,1992-07-09
499789,1961-03-29,Chuanti,Jonsson,M,1987-07-20
499788,1957-07-02,Matk,Goodrum,M,1994-04-25
499787,1957-04-04,Michaela,Wroclawski,M,1992-01-24
499786,1958-11-04,Jingling,Hasenauer,F,1986-10-04
499785,1956-12-22,Lakshmi,Polajnar,F,1997-12-09
499784,1959-04-12,Turgut,Levasseur,F,1985-04-15
499783,1959-11-06,Souichi,Demri,M,1988-04-07
499782,1955-04-01,Udo,Trystram,M,1988-11-16
499781,1960-08-04,Mori,Kroha,F,1990-08-25
499780,1956-11-07,Bernice,Hebert,F,1986-10-08
499779,1963-03-13,Leaf,Baba,F,1985-11-23
499778,1958-05-07,Billie,Sommer,M,1988-05-25
499777,1963-10-08,Cheong,Haumacher,M,1985-10-09
499776,1959-12-26,Kien,Covnot,M,1990-05-30
499775,1957-03-16,Xiaoshan,Braunschweig,M,1992-12-16
499774,1962-11-10,Eldridge,Mellouli,F,1986-08-11
499773,1957-10-25,Jiong,Krichel,M,1991-02-04
499772,1962-11-18,Thanasis,Guardalben,F,1986-07-03
499771,1958-02-05,Hercules,Porotnikoff,M,1991-07-17
499770,1958-03-07,Irene,Trumbly,M,1992-11-06
499769,1956-06-25,Hidekazu,Merey,M,1985-03-24
499768,1956-05-13,Billie,Remmele,M,1992-11-16
499767,1961-04-25,Tooru,Taneja,M,1992-06-17
499766,1954-03-15,Akhilish,Zobel,M,1985-09-14
499765,1955-05-21,Gou,Rahimi,M,1992-12-20
499764,1954-12-23,Zengping,Peir,M,1988-10-29
499763,1956-12-22,Uriel,Daescu,M,1985-02-06
499762,1952-08-24,Subhankar,Munawer,M,1985-07-06
499761,1958-12-23,Moon,Pleszkun,M,1990-06-07
499760,1960-12-01,Zito,Asrin,M,1988-03-01
499759,1958-03-04,Sungwon,Duclos,F,1987-10-07
499758,1964-01-10,Guoxiang,Montresor,M,1989-11-16
499757,1961-06-10,Fox,Kugler,M,1994-12-07
499756,1958-04-18,Gully,Hooghiemstra,M,1995-07-24
499755,1956-10-27,Bingning,Wallrath,M,1992-05-02
499754,1960-12-02,Zhenbing,Chappelet,M,1987-10-24
499753,1957-07-23,Udo,Chelton,F,1985-10-07
499752,1964-04-03,Palash,Stranks,M,1991-03-04
499751,1958-02-22,Jacopo,Hasham,M,1989-08-06
499750,1958-02-10,Maya,Melter,M,1988-05-16
499749,1955-09-15,Arif,Linnainmaa,M,1992-07-26
499748,1962-02-19,Wonhee,Harnett,M,1994-05-03
499747,1959-09-29,Mori,Colorni,F,1991-05-16
499746,1957-10-09,Kiyotoshi,Driscoll,M,1990-07-03
499745,1957-05-17,Radhika,Isard,M,1992-02-29
499744,1959-12-16,Kshitij,Anandan,F,1989-10-30
499743,1962-03-03,Prodip,Zuberek,M,1986-11-17
499742,1957-09-26,Arco,Middleton,M,1990-09-29
499741,1956-03-02,Heping,Heydon,M,1997-10-01
499740,1960-03-30,Gurbir,Cappelli,M,1989-12-07
499739,1953-05-25,Siamak,Nollmann,F,1994-03-29
499738,1954-09-09,Jiafu,Hutter,F,1994-08-25
499737,1960-02-24,Aamod,Bernatsky,M,1992-05-26
499736,1958-05-20,Hironobu,Albarhamtoshy,F,1987-04-11
499735,1963-01-09,Xinglin,Bierbaum,M,1988-08-05
499734,1960-12-27,Shuji,Antonakopoulos,M,1994-01-29
499733,1958-06-30,Shounak,Puppo,M,1989-11-19
499732,1958-06-03,Arun,Rajaraman,M,1997-09-07
499731,1953-02-03,Yechezkel,Pews,F,1992-10-23
499730,1960-08-17,Feixiong,Heusch,F,1988-05-18
499729,1961-11-03,Jouni,Chiola,M,1996-01-20
499728,1953-07-17,Jinxi,Bernini,F,1994-04-19
499727,1957-07-28,Khaled,Ellozy,F,1992-02-07
499726,1963-11-18,Zdislav,Joslin,M,1988-05-02
499725,1952-05-29,Fumitake,Sudbeck,F,1992-07-26
499724,1954-03-23,Geoffry,Velasco,F,1987-11-23
499723,1952-12-06,Mart,Percebois,M,1985-12-15
499722,1957-12-28,Amabile,Cesareni,M,1988-07-25
499721,1955-01-15,Mikhail,Erman,M,1990-12-04
499720,1953-05-15,Mats,Strandh,M,1986-03-17
499719,1962-01-26,Kristin,Adachi,F,1988-12-25
499718,1958-05-13,Kristin,Grandbois,F,1993-10-18
499717,1962-05-21,Lucian,Isaak,M,1989-11-24
499716,1961-09-17,Otilia,Granlund,M,1994-05-04
499715,1961-11-14,Takanari,Peltason,M,1994-09-26
499714,1954-07-29,Seongbae,Bauknecht,M,1987-10-03
499713,1963-03-17,Zhiguo,Stroustrup,F,1991-06-08
499712,1952-12-23,Kousuke,Pettit,M,1993-01-31
499711,1960-12-03,Xiadong,Haldar,F,1985-11-15
499710,1956-09-19,Szabolcs,Emden,M,1986-12-19
499709,1959-06-16,Hitomi,Litecky,M,1988-02-13
499708,1962-06-12,Piyush,Uehara,M,1989-08-12
499707,1952-08-12,Paris,Jayawardene,F,1988-08-26
499706,1954-07-12,Naftaly,Marchegay,M,1993-09-20
499705,1954-12-23,Huan,Khalid,M,1987-05-02
499704,1954-10-14,Luisa,Nastansky,F,1987-01-24
499703,1956-07-23,Goa,Nitto,M,1986-04-11
499702,1964-12-01,Ortrun,Callaway,M,1991-07-11
499701,1961-12-26,Shietung,Bergere,M,1995-04-23
499700,1953-03-28,Divine,Ulupinar,M,1993-01-16
499699,1957-08-25,Tesuya,Murtha,F,1985-06-08
499698,1954-08-19,Franziska,Luff,F,1992-09-08
499697,1958-03-24,Shaowei,Kitai,M,1996-03-11
499696,1960-07-27,Nobuyoshi,Mikschl,M,1995-03-12
499695,1953-03-26,Srinidhi,Kawashimo,F,1989-06-07
499694,1960-12-07,Troy,Whittlesey,F,1991-02-27
499693,1957-08-24,Shunichi,Angot,M,1990-10-27
499692,1952-05-13,Yongqiao,Maginnis,M,1985-03-12
499691,1964-11-19,Sastry,Szmurlo,M,1987-07-20
499690,1958-05-24,Shigeaki,Erman,M,1986-02-21
499689,1955-07-30,Kinh,Sommer,F,1985-03-08
499688,1954-10-26,Bingning,Perin,M,1985-10-19
499687,1957-12-14,Nimmagadda,Pileggi,F,1987-12-29
499686,1963-02-03,Tommaso,Panangaden,M,1988-06-07
499685,1958-01-17,Adel,Varley,M,1987-04-08
499684,1959-03-14,Palash,Stellhorn,M,1990-04-13
499683,1957-09-06,Youjian,Rouquie,F,1996-07-19
499682,1964-10-14,Martijn,Foote,M,1993-04-19
499681,1952-07-15,Kazuhito,Heemskerk,M,1986-06-06
499680,1953-12-19,Masaki,Kobuchi,F,1993-04-13
499679,1954-11-12,Juichirou,Shigei,M,1997-05-30
499678,1964-12-05,Shirish,Petereit,M,1990-03-05
499677,1954-08-29,Shim,Suomi,F,1988-12-30
499676,1956-07-06,Shirish,Stellhorn,M,1988-03-22
499675,1953-04-09,Moie,Preusig,F,1989-09-29
499674,1956-08-18,Phillip,Panienski,M,1995-04-12
499673,1962-06-29,Sailaja,Nyrup,F,1990-04-14
499672,1952-05-18,Bernd,Gluchowski,M,1990-10-25
499671,1955-10-03,Jayesh,Ambroszkiewicz,M,1988-02-04
499670,1958-03-07,Candida,Otillio,F,1990-06-24
499669,1964-01-17,Snehasis,Penn,M,1992-02-22
499668,1956-11-29,Kokou,Gewali,M,1991-06-12
499667,1961-10-17,Jayesh,Conte,M,1986-10-17
499666,1955-12-03,Martine,Pollock,M,1986-06-26
499665,1955-03-02,Keiichiro,Champarnaud,M,1988-01-16
499664,1963-03-01,Subhada,Ligten,M,1990-06-24
499663,1959-07-06,Eishiro,Joslin,M,1989-08-13
499662,1956-11-05,Vatsa,Driscoll,M,1985-05-19
499661,1963-06-30,Eric,Demeyer,M,1994-08-05
499660,1955-02-10,Valery,Schade,F,1986-09-19
499659,1960-06-26,Pasqua,Garnham,M,1985-09-28
499658,1956-08-25,Chinya,Luon,F,1992-07-22
499657,1961-05-13,Kokou,Boudaillier,M,1986-04-21
499656,1952-02-22,Syozo,Pettit,F,1993-02-06
499655,1955-09-20,Kristine,Smailagic,F,1990-12-29
499654,1964-06-09,Cristinel,Plessier,F,1994-03-18
499653,1963-08-17,Reuven,Slaats,M,1996-03-09
499652,1963-01-16,Oddvar,Ushiama,F,1993-11-27
499651,1954-10-05,Gadiel,Setlzner,M,1993-01-05
499650,1964-11-08,Ibibia,McClurg,M,1987-02-25
499649,1958-01-14,Danny,Pintelas,M,1987-01-03
499648,1960-09-03,Tadahiro,Erde,F,1992-08-13
499647,1954-09-26,Mohamadou,Hemaspaandra,M,1991-02-05
499646,1959-11-12,Mohua,Kusakari,M,1986-11-20
499645,1960-07-14,Christoper,Highland,F,1986-02-22
499644,1957-01-03,Takushi,Kalafatis,M,1986-03-12
499643,1954-03-09,JiYoung,Skafidas,M,1986-07-19
499642,1963-01-05,Geoffry,Schnelling,M,1992-04-14
499641,1954-01-11,Mart,Nannarelli,M,1987-02-27
499640,1961-12-31,Huei,Mondadori,F,1988-03-24
499639,1964-11-19,Joydip,Wilharm,F,1989-06-14
499638,1954-08-16,Maria,McDermid,F,1988-03-19
499637,1955-06-26,Annemarie,Dichev,M,1993-12-17
499636,1959-05-13,Souichi,Passafiume,F,1994-01-21
499635,1954-08-12,Sadegh,Boyle,M,1992-08-10
499634,1956-12-23,Zdislav,Ellozy,M,1990-11-03
499633,1959-01-05,Yurij,Herath,M,1985-04-01
499632,1961-05-29,Vesna,Attimonelli,F,1988-02-01
499631,1957-08-19,Fumiya,Bergere,M,1988-06-02
499630,1956-03-01,Xudong,Velardi,F,1992-10-29
499629,1960-04-29,Nikolaus,Benzmuller,F,1990-10-23
499628,1960-06-01,Dinkar,Wendorf,M,1992-04-14
499627,1955-12-17,Susanne,Swick,F,1989-03-12
499626,1955-01-27,Masaki,Angelopoulos,F,1994-04-17
499625,1963-07-02,Nechama,Denny,F,1996-08-30
499624,1956-06-03,Zejun,Pelc,M,1985-12-17
499623,1955-12-05,Demin,Candan,F,1989-07-30
499622,1961-08-09,Janche,Henders,M,1986-02-09
499621,1962-02-04,Jeanna,Khamsi,M,1992-11-02
499620,1961-07-30,Marke,Ibel,F,1996-01-30
499619,1957-05-30,Jingling,Ozeki,M,1990-03-25
499618,1953-01-15,Jessie,Erni,M,1992-02-23
499617,1956-12-07,Uzi,Ferretti,F,1985-06-15
499616,1961-09-05,Xiadong,Hofmeyr,M,1992-11-22
499615,1955-01-04,Breannda,Gajiwala,F,1989-06-13
499614,1953-03-20,Khoa,Rindone,F,1993-07-10
499613,1953-06-09,Vasilis,Kaelbling,M,1987-05-15
499612,1955-12-04,Takushi,Tokunaga,M,1990-11-02
499611,1953-01-06,Subir,Shiratori,M,1992-04-26
499610,1962-12-28,Kiyokazu,Vernadat,F,1999-08-29
499609,1962-03-22,Shushma,Farris,M,1987-12-03
499608,1955-04-22,Reuven,Genin,M,1987-12-06
499607,1960-05-15,Bodo,Redmiles,M,1990-06-25
499606,1961-05-15,Khoa,Stanfel,M,1998-02-19
499605,1956-11-15,Babette,Cronau,M,1990-02-14
499604,1964-09-06,Mario,Zschoche,M,1997-04-14
499603,1953-12-23,Atreye,Birdsall,F,1990-02-01
499602,1958-07-07,Ziya,Shihab,M,1986-05-22
499601,1964-03-21,Satyanarayana,Schmezko,F,1994-05-15
499600,1957-12-07,Sastry,Solovay,M,1993-11-03
499599,1962-09-19,Duro,Peron,M,1986-11-30
499598,1964-09-28,Mohan,Zaumen,M,1991-05-13
499597,1961-01-03,Divier,Bergere,M,1990-09-05
499596,1952-05-03,Gunilla,Falby,F,1987-11-22
499595,1963-02-01,Nagui,Stamatiou,M,1988-11-17
499594,1962-08-09,Shawna,Shihab,F,1990-09-30
499593,1964-01-31,Mantis,Kawashima,F,1990-07-16
499592,1964-09-02,Arlette,Dolinsky,M,1997-06-26
499591,1959-02-02,Gritta,Szmurlo,M,1988-10-29
499590,1960-02-07,Kiam,Juneja,M,1991-09-25
499589,1963-03-19,Basim,Bodoff,F,1997-06-30
499588,1953-05-18,Maya,Sidje,M,1985-06-05
499587,1960-02-03,Zine,Ghazalie,M,1992-03-11
499586,1962-02-01,Kwangyoen,Siepmann,F,1991-11-26
499585,1952-06-04,Pramod,Antonakopoulos,M,1994-07-15
499584,1960-08-15,Christ,Macedo,F,1986-01-22
499583,1963-07-03,Gregory,Leonhardt,F,1988-07-13
499582,1964-12-08,Christoph,McDermid,M,1992-11-24
499581,1952-05-28,Lijia,Luce,F,1987-12-13
499580,1953-10-25,Karsten,Perri,M,1985-05-10
499579,1960-01-07,Zissis,Miara,F,1989-08-02
499578,1959-08-29,Jianhao,Serot,M,1989-03-21
499577,1961-09-19,Christfried,Suppi,F,1985-08-31
499576,1954-11-04,Izaskun,McDermid,M,1993-07-11
499575,1953-09-12,Jacqueline,Kisuki,M,1985-06-03
499574,1953-09-08,Claudi,Qiwen,F,1992-04-20
499573,1954-12-01,Niclas,Asmuth,M,1991-09-14
499572,1958-01-23,Sadok,Kemmerer,F,1994-05-17
499571,1962-08-17,Paraskevi,Zschoche,M,1990-02-04
499570,1957-10-07,Perla,Desikan,F,1989-10-21
499569,1958-05-23,Guangming,Isaak,F,1985-12-11
499568,1957-10-07,Mingsen,Birta,M,1991-05-23
499567,1963-12-30,Ymte,Potthoff,M,1986-07-11
499566,1952-06-09,Djelloul,Deverell,M,1987-10-26
499565,1957-07-29,Hein,Bergere,M,1985-02-20
499564,1959-10-16,Haldun,Mullainathan,M,1991-02-26
499563,1952-08-06,Martine,Markovitch,M,1988-04-20
499562,1957-11-28,Danil,Callaway,M,1990-12-05
499561,1962-07-24,Doohun,Bade,F,1990-08-21
499560,1960-07-12,Berni,Georg,M,1988-08-28
499559,1952-03-21,Alexius,Eiter,F,1994-03-11
499558,1961-03-31,Murthy,Glinert,M,1993-12-11
499557,1954-07-15,Aloys,Katalagarianos,M,1990-02-26
499556,1954-10-27,Honglan,Picaronny,F,1997-03-13
499555,1957-02-23,Zhaofang,Bernardeschi,M,1992-07-20
499554,1958-02-08,Anyuan,Massonet,M,1993-12-14
499553,1954-05-06,Hideyuki,Delgrande,F,2000-01-22
499552,1964-09-10,Heon,Hedayat,M,1987-10-01
499551,1956-03-28,Doohun,Parveen,M,1990-01-14
499550,1961-07-12,Saddek,Gargeya,F,1985-08-13
499549,1964-06-21,Kagan,Veeraraghavan,F,1995-11-27
499548,1955-03-16,Aloys,Bale,M,1987-04-27
499547,1963-01-26,Berto,Flowers,M,1986-01-28
499546,1960-08-04,Guadalupe,Bernardeschi,M,1992-06-13
499545,1961-03-04,Shrikanth,Brizzi,M,1991-06-02
499544,1958-04-30,Muneo,Khamsi,M,1986-03-04
499543,1953-08-12,Juichirou,Kenevan,F,1987-10-22
499542,1957-02-17,Luerbio,Leaver,F,1986-03-13
499541,1959-02-02,Peternela,Birjandi,M,1985-08-26
499540,1954-01-07,Kayoko,Stamatiou,M,1991-11-12
499539,1953-06-29,Palash,Puoti,F,1986-09-09
499538,1953-01-09,Sadok,Talmon,M,1987-10-01
499537,1956-07-28,Amalendu,Hebert,M,1988-10-18
